id	name	description
phs000833	Single Cell Analysis Program - Transcriptome (SCAP-T)	This initiative is part of the Single Cell Analysis Program (SCAP) and is funded through the NIH Common Fund (See http://nihroadmap.nih.gov/), which supports cross-cutting programs that are expected to have  exceptionally high impact. Common Fund initiatives address key roadblocks in biomedical research that impede basic scientific discovery and its
phs000842	PediGFR	The Pediatric Investigation for Genetic Factors Associated with Renal Progression (PediGFR) (RO1-DK082394) is an international collaborative study among three large prospective cohort studies of children with chronic kidney disease. The  participating parent cohort studies are the Chronic Kidney Disease in Children (CKiD), the Effect of Strict Blood Pressure Control and ACE Inhibition
phs000847	T2D-GENES: San Antonio Mexican American Family Studies (SAMAFS)	The Type 2 Diabetes (T2D) Genetic Exploration by Next-generation sequencing in Ethnic Samples (T2D-GENES) Consortium is a collaborative international effort to identify genes influencing susceptibility to type 2 diabetes in  multiple ethnic groups using next generation sequencing. To fulfill this objective, T2D-GENES Consortium undertook two large sequencing studies
phs000867	The Finland-United States Investigation of NIDDM Genetics (FUSION) Study	The Finland-United States Investigation of NIDDM Genetics (FUSION) study is a long-term effort to identify genetic variants that predispose to type 2 diabetes (T2D) or that impact the variability of  T2D-related quantitative traits. The initial effort involved linkage analysis of affected-sibling-pair (ASP) families based on over 5,000 individuals
phs000876	Transdisciplinary Research Into Cancer of the Lung (TRICL)	The study was conducted under the auspices of the Transdisciplinary Research In Cancer of the Lung (TRICL) Research Team, which is a part of the Genetic Associations and MEchanisms in  ONcology (GAME-ON) consortium, and associated with the International Lung Cancer Consortium (ILCCO). Ethics All participants provided written
phs000991	VESPA: Vanderbilt Electronic Systems for Pharmacogenomic Assessment	The Vanderbilt Electronic Systems for Pharmacogenomic Assessment (VESPA) Project is a large electronic medical record (EMR)- and biobank-based initiative for translational pharmacogenomics discoveries. Key research resources utilized in this effort  include the BioVU DNA databank and associated Synthetic Derivative database of clinical information, and software tools developed to identify drugs
phs001001	MGH Atrial Fibrillation Study	The Massachusetts General Hospital (MGH) Atrial Fibrillation Study was initiated in 2001. The study has enrolled serial probands, unaffected and affected family members with atrial fibrillation. At enrollment participants undergo  a structured interview to systematically capture their past medical history, AF treatments, and family history. An electrocardiogram is performed
phs001022	PsychENCODE: Autism Transcriptional and Epigenetic Profiling	Our current understanding of autism spectrum disorders (ASD) delineates a highly heritable, yet etiologically heterogeneous disease. Forward genetic approaches to find disease associated mutations or common variation have been successful  and continue to offer considerable power. Yet, given the accumulating evidence for very significant heterogeneity and environmental influences
phs001030	Viral Respiratory Pathogens Genetics	"The overall purpose of this study is to investigate the host genetic factors in response to influenza virus infection, with the focus on influenza vaccination in the first substudy ""Adult  Influenza Vaccine Genetics"" and with the focus on influenza natural infection and other acute respiratory infections (ARIs) in the second substudy"
phs001078	Common Variant GWAS, GECCO	Genetics & Epidemiology of Colorectal Cancer Consortium (GECCO) is a collaborative effort which aims to accelerate the discovery of colorectal cancer-related variants by discovering, replicating and fine-mapping Genome Wide Association  Study (GWAS) findings, conducting a meta-analysis of GWAS data, and investigating how genetic variants are modified by environmental risk factors
phs001120	ELLIPSE Prostate Cancer Meta-Analysis and Genotyping	The ELLIPSE Consortium is an international effort to discover risk loci for prostate cancer. It includes the meta-analysis of existing GWAS data as well as novel GWAS, exome, and iCOGS  genotyping. The GWAS meta-analysis includes the following cases and controls from studies of European ancestry: UK GWAS stage 1 (Illumina Infinium
phs001133	Follow-up of Ovarian Cancer Genetic Association and Interaction Studies    (FOCI)	(Excerpted/paraphrased from original grant application): FOCI seeks to expand our understanding of epithelial ovarian cancer through a coordinated and comprehensive approach. Project 1 will focus on discovery, expansion, and replication.  By pooling GWAS, we expect to identify new associations and achieve independent replication, explore whether there are risk variants specific for
phs001166	Type 2 Diabetes Starr County GWAS and Exome Sequencing	"The T2D Seq GWAS Starr County Cohort is utilized in the following dbGaP sub-studies. To view genotypes, other molecular data, and derived variables collected in these sub-studies, please click on  the following sub-studies below or in the ""Sub-studies"" section of this top-level study page phs001166 T2D Seq GWAS Starr County Cohort. phs000143"
phs001167	Type 2 Diabetes in African Americans, GWAS and Exome Sequencing	"The T2D Seq GWAS AA Cohort is utilized in the following dbGaP sub-studies. To view genotypes, other molecular data, and derived variables collected in these sub-studies, please click on the  following sub-studies below or in the ""Sub-studies"" section of this top-level study page phs001167 T2D Seq GWAS AA Cohort. phs000140 CIDR T2D Bowdens"
phs001172	NINDS Parkinson's Disease	"This study utilized the well characterized collection of North American Caucasians with Parkinson's disease, and neurologically normal controls from the sample population which are banked in the National Institute of  Neurological Disorders and Stroke (NINDS Repository) collection. Two sub-studies are included, in sub-study ""NINDS-Genome-Wide Genotyping in"
phs001175	CTSP: Clinical Trial Sequencing Project	For the Clinical Trials Sequencing Project (CTSP), National Cancer Institute (NCI) will utilize whole genome sequencing and/or whole exome sequencing in conjunction with transcriptome sequencing to try to identify recurrent  genetic alterations (mutations, deletions, amplifications, rearrangements) and/or gene expression signatures that would be important to the
phs001180	Genes-Environments and Admixture in Latino Asthmatics (GALA II) Study	A case-control pharmacogenetic study of bronchodilator drug response among racially admixed Latino children with asthma. Each participant had two spirometry measurements using the KoKo PFT System. With the first spirometry  test, participant was administered with 4 puffs of HFA Albuterol. The second albuterol measurement was based on age, for participants under 16 years
phs001194	Pediatric Cardiac Genetics Consortium (PCGC) Study	Multi-center, prospective observational cohort study of individuals with congenital heart defects (CHD). Phenotypic data and source DNA derived from 10,000 probands, parents, and families of interest are being collected to  investigate relationships between genetic factors and phenotypic and clinical outcomes in patients with CHD. The PCGC Cohort is utilized in the
phs001238	Genetic Epidemiology Network of Arteriopathy (GENOA)	The Genetic Epidemiology Network of Arteriopathy (GENOA) is one of four networks in the NHLBI Family-Blood Pressure Program (FBPP). GENOA's long-term objective is to elucidate the genetics of target organ  complications of hypertension, including both atherosclerotic and arteriolosclerotic complications involving the heart, brain, kidneys, and
phs001300	NABEC: North American Brain Expression Consortium	This study utilized neurologically normal control samples deposited in North American Brain Expression Consortium (NABEC). This top-level study, phs001300, makes available all phenotype data of the NABEC study participants. In  addition, molecular data of six sub-studies are available through dbGaP: 1. NABEC Genome-Wide Genotyping - phs000249 2. NABEC Exome Sequencing
phs001304	NCI Biospecimen Pre-analytical Variables (BPV) Analysis	The Biospecimen Pre-analytical Variables (BPV) Program is a National Cancer Institute-sponsored study to systematically assess the effects of pre-analytical factors on the molecular profile of biospecimens. A robust biospecimen collection  infrastructure was established to prospectively collect biospecimens using rigorous standard operating procedures to control for most variables while
phs001475	Genes Influencing Susceptibility to Infection and Malnutrition	NIH birth cohort study Amebiasis is a common cause of diarrhea and is associated with malnutrition in grade-school aged children in an urban slum of Dhaka, Bangladesh. Field Studies of  Human Immunity to Amebiasis in Bangladesh was designed to determine the contribution of amebiasis to illness in the first 2 years of life when most
phs001683	CSER: Incorporation of Genomic Sequencing into Pediatric Cancer Care	This project includes data derived from subjects enrolled in the BASIC3 (Baylor College of Medicine Advancing Sequencing in Childhood Cancer Care) study. BASIC3 is a National Genome Human Research Institute  (NHGRI) and National Cancer Institute-funded Clinical Sequencing Exploratory Research (CSER) consortium project that focused on prospective
phs002073	Effect of Breast Feeding on Immunologic Priming in Young Infants	The mechanisms generating immunoglobulin heavy chain (IgH) biodiversity result in over potentially unique immunoglobulin sequences within an individual. However, over the course of B cell development, B cell receptor (BCR)  selection constrains the repertoire significantly. In newborn infants compared to adults, developmental regulation of terminal deoxynucleotidyl
phs002793	Study of Lyme Immunology and Clinical Events (SLICE)	The overall objective of this study is to measure risk factors, symptom patterns and severity, longitudinal course, and associated biomarkers in patients who develop symptoms of post treatment Lyme disease  (PTLD) in cohort studies. Principal Investigator: John Aucott, MD, Lyme Disease Research Center, Division of Rheumatology, Department of Medicine
phs000016	International Multi-Center ADHD Genetics Project	The goal of the project is to complete a 600,000 tag SNP genome-wide association scan of 958 parent-child trios from the International Multisite ADHD Genetics (IMAGE) project, in order to  assess the association of SNP markers with ADHD, analyze quantitative ADHD phenotypes, complete copy number analyses, assess parent of origin effects
phs000017	Whole Genome Association Study of Bipolar Disorder	The goal of the project is to identify genes that make individuals more susceptible to bipolar disorder (manic depressive illness) and to better understand the brain pathways involved in the  disease. Dataset versioning Version 1: European-American (EA) ancestry only Version 2: Version 1 plus African-American (AA) ancestry Version 3: EA
phs000018	Search for Susceptibility Genes for Diabetic Nephropathy in Type 1    Diabetes (GoKinD study participants), GAIN	Genetics of Kidneys in Diabetes (GoKinD) study is an initiative aimed at identifying susceptibility genes for diabetic nephropathy in type 1 diabetes. A large number of individuals with type 1  diabetes were screened to identify two subsets, one with clear-cut kidney disease and another with normal renal status despite long-term diabetes
phs000019	Collaborative Association Study of Psoriasis	The goal of this collaborative study is to combine the resources and expertise of three groups with long-standing studies of psoriasis genetics in order to identify new genetic susceptibility factors  for psoriasis, a common inflammatory skin disease that affects over 4 million Americans. Consent groups and participant set General research use (GRU
phs000020	Major Depression: Stage 1 Genomewide Association in Population-Based    Samples	Identification of genomic regions that confer susceptibility to or protection from major depressive disorder (MDD) via genomewide association. Consent groups and participant set Psychiatric and Related Somatic Conditions (PRSC): 3741  (1821 cases, 1822 controls, 98 others) Case selection: MDD cases were recruited through mental health care organizations, general practices and in
phs000021	Genome-Wide Association Study of Schizophrenia	The goal of the study is to find susceptibility genes for schizophrenia. Dataset versioning Version 1: European-American (EA) ancestry only Version 2: Version 1 plus African-American (AA) ancestry Consent groups  and participant set General research use (GRU): 4591 cases and controls (1217 EA cases, 1442 EA controls, 953 AA cases, 979 AA controls) This consent
phs000048	Mayo-Perlegen LEAPS (Linked Efforts to Accelerate Parkinson's Solutions)    Collaboration	We performed a two-tiered, whole-genome association study of Parkinson disease (PD). For tier 1, we individually genotyped 198,345 uniformly spaced and informative single-nucleotide polymorphisms (SNPs) in 443 sibling pairs discordant  for PD. For tier 2a, we individually genotyped 1,793 PD-associated SNPs (P .01 in tier 1) and 300 genomic control SNPs in 332 matched case-unrelated
phs000049	Genotyping the 270 HapMap Samples for GAIN by Broad	"The Broad Institute Center for Genotyping and Analysis is an NCRR-funded fee-for-service SNP genotyping facility based at MIT (www.broad.mit.edu/genotyping). For the GAIN studies, Broad uses the Affymetrix GeneChip genotyping platform.  The first set of studies is being analyzed on the soon-to-be-publicly-released ""Human Mapping 500K Array 2.0"", which detects 500,000 SNPs, as well as"
phs000050	Genotyping the 270 HapMap Samples for GAIN by Perlegen	For the GAIN studies, Perlegen Sciences uses a high-density oligonucleotide array-based platform to analyze 600,000 SNPs in large numbers of individuals. The SNP set was selected on the basis of  linkage disequilibrium analysis of the HapMap data, and includes tag SNPs for all CEU bins. The arrays consist of DNA probes (short segments of DNA
phs000086	DCCT-EDIC Clinical Trial and Follow-up of Persons with Type 1 Diabetes	The Diabetes Control and Complications Trial (DCCT, 1982-93) and the Epidemiology of Diabetes Interventions and Complications follow-up study (EDIC, 1994-2016) have been ongoing for more than twenty years. After a  mean follow-up of approximately 16 years, the DCCT-EDIC cohort of 1,441 Type 1 diabetics had remained remarkably complete with more than 90% of the
phs000088	Search for Susceptibility Genes for Diabetic Nephropathy in Type 1    Diabetes (GoKinD study participants and parents), NIDDK	Genetics of Kidneys in Diabetes (GoKinD) study is an initiative aimed at identifying susceptibility genes for diabetic nephropathy in type 1 diabetes. A large number of individuals with type 1  diabetes were screened to identify two subsets, one with clear-cut kidney disease and another with normal renal status despite long-term diabetes
phs000091	GENEVA Diabetes Study (NHS/HPFS)	Type 2 diabetes mellitus (T2D) affects approximately 21 million individuals in the U.S., or almost 10% of the U.S. adult population. Because diabetes is determined by both genetic and environmental  factors, a better understanding of the etiology of diabetes requires a careful investigation of gene-environment interactions. The Nurses' Health
phs000092	Study of Addiction: Genetics and Environment (SAGE)	This study is part of the Gene Environment Association Studies initiative (GENEVA) funded by the National Human Genome Research Institute. The overarching goal is to identify novel genetic factors that  contribute to addiction through a large-scale genome-wide association study of DSM-IV alcohol dependent (and frequently illicit drug dependent) cases
phs000093	A Genome Wide Scan of Lung Cancer and Smoking	The majority of cases of lung cancer are the culmination of a dynamic process that begins with smoking initiation, proceeds through dependency and smoking persistence, continues with lung cancer development  and ends with progression to disseminated disease or response to therapy and survival. We are conducting a whole genome study of lung cancer and
phs000094	International Consortium to Identify Genes and Interactions Controlling    Oral Clefts	Oral clefts represent the most common group of craniofacial birth defects in humans, and include cleft lip with or without cleft palate (CL/P) and cleft palate (CP). Oral clefts have  a complex and heterogeneous etiology, with strong evidence for both genetic and environmental causal factors. Candidate gene studies and genome wide
phs000095	Dental Caries: Whole Genome Association and Gene x Environment Studies	Dental caries (also known as tooth decay) remains the most common chronic disease of childhood, five times more common than asthma and seven times more common than environmental allergies, with  more than 40% of children exhibiting caries when they enter kindergarten. In 2005, it was estimated that dental health care costs were approximately
phs000096	HAPO Maternal Glycemia and Birthweight GEI Study	Low and high birth weight are not only major causes of neonatal morbidity and mortality, but epidemiological data have established an association between birth weight and later life risk of  adult metabolic diseases. Fetal growth is determined by complex interactions between fetal genes and the maternal uterine environment. Subtle or
phs000101	Genome-Wide Association Study of Amyotrophic Lateral Sclerosis	Amyotrophic lateral sclerosis (ALS) is a neurodegenerative disorder clinically characterized by rapidly progressive paralysis and death due to respiratory failure, typically within two to three years of symptom onset. The  number of ALS cases across the globe will increase to nearly 400,000 in 2040, predominantly due to aging of the population. Unraveling the genetics
phs000102	Ischemic Stroke Genetics Study (ISGS)	The third leading cause of death in the United States, stroke is an acute neurological event leading to death of neural tissues. Although the majority of strokes are ischemic strokes,  meaning there is oxygen deprivation to the brain, almost 20% of strokes are hemorrhagic, resulting from bleeding into the brain. Stroke is a complex
phs000103	GENEVA Study of Preterm Delivery (DNBC/Iowa)	Preterm labor resulting in the delivery of a premature child is a complex problem with an enormous impact on individuals, families and society. An estimated 500,000 children are born prematurely  in the U.S. each year, and 5 million worldwide die annually of prematurity and its complications. Prematurity is also the single largest contributor
phs000122	Whole Genome Association Study of Systemic Lupus Erythematosus	The goal of this collaborative study was to identify new genetic risk factors for Systemic Lupus Erythematosus (SLE). To do this we conducted a genome-wide scan by combining the resources  and expertise from a number of SLE researchers to establish a large sample set comprising 1311 SLE cases and 3340 controls. The SLE case samples were
phs000124	Neuroblastoma Genome-Wide Association Study (NBL-GWAS)	Neuroblastoma is a malignancy of the developing sympathetic nervous system that most commonly affects young children and is often lethal. The etiology of this embryonal cancer is not fully understood.  We therefore initiated a genome-wide association study (GWAS) in 2007 focused on neuroblastoma patients identified through the Children's Oncology
phs000125	CIDR: Collaborative Study on the Genetics of Alcoholism (COGA)	This is a case-control study of alcoholism, in which the subjects have been drawn from the Collaborative Study on the Genetics of Alcoholism (COGA), a large, ongoing family-based study that  includes subjects from seven sites around the US. COGA has gathered detailed, standardized data on study participants, including diagnostic and
phs000126	CIDR: Genome Wide Association Study in Familial Parkinson Disease (PD)	This proposal brings together the two largest NIH funded genetic studies focused on the identification of novel genes that influence the risk of PD. These two studies, PROGENI (PI: Tatiana  Foroud; R01NS037167) and GenePD (PI: Richard Myers; R01NS036711) have been evaluating and recruiting families with two or more PD affected members
phs000127	Study of Irish Amyotrophic Lateral Sclerosis (SIALS)	Amyotrophic lateral sclerosis (ALS) is a fatal neurodegenerative disease characterized by loss of motor neurons. Epidemiological studies indicate that 2-5% of cases are familial, usually with an autosomal dominant pattern  of inheritance. For a portion of these, causative genes have been identified. The remaining 95% of ALS cases are described as sporadic, and believed
phs000128	GAW16 Framingham and Simulated Data	Important links to apply for individual-level data 1. Genetic Analysis Workshop 2. Instructions to Request Authorized Access 3. Data Use Certification Requirements (DUC) 4. Apply here for controlled access to  individual level data 5. Research Use Statement Questions regarding GAW16 should be directed to Vanessa Olmo at vanessa@business-endeavors.com
phs000130	NIDDK IBDGC Crohn's Disease Genome-Wide Association Study	This dataset contains data from a genome-wide association study performed with 968 Inflammatory Bowel Disease (IBD) affected cases and 995 unrelated controls using the Illumina HumanHap300 Genotyping BeadChip. Cases were  selected to have Crohn's disease with ileal involvement, and controls were matched to cases based on sex and year of birth. Subjects were drawn from
phs000138	GWAS for Genetic Determinants of Bone Fragility	Osteoporotic fractures are largely due to an increased propensity to fall with aging and a reduction in bone strength. Although skeletal architecture contributes to fracture risk, bone mineral density (BMD)  is the most important determinant of bone strength and fracture risk. Between 60 and 80% of the variance of BMD of adult Caucasian women is due to
phs000139	IMSGC Genome Wide Association Study of Multiple Sclerosis	The goal of this study is to perform a comprehensive allelic and genotypic association analysis of the entire human genome in multiple sclerosis. The recent definitive linkage genome screen demonstrated  that there is no other MS risk gene with an effect size anywhere near that of the MHC. However, linkage analysis is significantly hampered by reduced
phs000142	Whole Genome Association Twin Study of Myopia and Glaucoma Risk Factors	Myopia and glaucoma are highly prevalent ophthalmic disorders worldwide and contribute significantly to ocular morbidity. There is substantial evidence that genetic factors play a significant role in the development of  non-syndromic myopia and glaucoma. We propose to perform mapping studies for well-characterized twin populations in the United Kingdom and Australia
phs000144	NHGRI Tumor Sequencing Project (Lung Adenocarcinoma)	The Tumor Sequencing Project (TSP) Consortium is a collaboration among participants at the Baylor College of Medicine Human Genome Sequencing Center, the Broad Institute Genome Sequencing Platform, the Dana Farber  Cancer Institute, the Memorial Sloan-Kettering Cancer Center, the Genome Sequencing Center and Siteman Cancer Center at Washington University, the
phs000145	POPRES: Population Reference Sample	POPRES version 1 and 2 Technological and scientific advances, stemming in large part from the Human Genome and HapMap projects, have made large-scale, genome-wide investigations feasible and cost-effective. These advances  have the potential to dramatically impact drug discovery and development by identifying genetic factors that contribute to variation in disease risk
phs000147	CGEMS Breast Cancer GWAS	The initial stage of the Cancer Genetic Markers of Susceptibility (CGEMS) breast cancer genome-wide association study (GWAS) included genotyping 528,173 SNPs (Illumina HumanHap550) in 1,145 postmenopausal women of European ancestry  with invasive breast cancer and 1,142 controls from the Nurses' Health Study (NHS). Subsequently, incident invasive breast cancer cases from the
phs000153	Framingham SHARe Social Network	Note: Data Use Restrictions: The data must only be used for genetic research projects solely in the area of health-related social-network research. This study compiles detailed information on family and  social ties linked to participants in the offspring cohort of the Framingham Heart Study. The investigators took computerized information from self
phs000159	Genomics of Acute Myeloid Leukemia	Sequence data from the Genomics of AML PPG program at Washington University (c. 2009-2019). This repository contains data from tumors (bone marrow or peripheral blood) from Acute Myeloid Leukemia (AML)  and several other related disorders - myelodysplastic syndromes (MDS), secondary AML (sAML) and therapy-related AML (tAML). It also contains matched
phs000160	Genetics Consortium for Late Onset of Alzheimer's Disease (LOAD CIDR    Project)	Multiplex Family Study The purpose of the NIA Genetics Initiative: Multiplex Family Study is to identify families with multiple members diagnosed with late-onset Alzheimer's Disease. Families will be characterized clinically  and blood samples will be collected to establish cell lines. If a blood sample is not available, autopsy samples will be collected for DNA extraction
phs000166	SNP Health Association Resource (SHARe) Asthma Resource Project (SHARP)	SNP Health Association Resource (SHARe) Asthma Resource project (SHARP) is conducting a genome-wide analysis in adults and children who have participated in National Heart, Lung, and Blood Institute's clinical research  trials on asthma. This includes 1041 children with asthma who participated in the Childhood Asthma Management Program (CAMP), 994 children who
phs000167	Molecular Genetics of Schizophrenia - nonGAIN Sample (MGS_nonGAIN)	This study is part of the Molecular Genetics of Schizophrenia (MGS) genome wide association study (GWAS) of 3,972 cases (2,686 EA and 1,286 AA) and 3,629 controls (2,656 EA and  973 AA) (analyzed sample remaining after quality control exclusions), comprised of European ancestry (EA) and African American (AA) samples. We
phs000168	NIA - Late Onset Alzheimer's Disease and National Cell Repository for    Alzheimer's Disease Family Study: Genome-Wide Association Study for    Susceptibility Loci	Alzheimer disease is the most common neurodegenerative disorder of the elderly affecting an estimated five million Americans. Genetic factors contribute to the risk for disease with heritability estimates ranging from  57% to 79%. More than a decade ago, the &#x003b5;4 variant of APOE was identified and remains the most consistently replicated genetic variant
phs000169	Whole Genome Association Study of Visceral Adiposity in the HABC Study	The Health Aging and Body Composition (Health ABC) Study is a NIA-sponsored cohort study of the factors that contribute to incident disability and the decline in function of healthier older  persons, with a particular emphasis on changes in body composition in old age. Between 4/15/97 and 6/5/98 the Health ABC study has recruited 3,075 70
